,pais,pib
0,World,80683787
1,High income,51475414
2,East Asia & Pacific,23999251
3,Upper middle income,22168419
4,Europe & Central Asia,21438519
5,North America,21049975
6,United States,19390604
7,China,12237700
8,Lower middle income,6504155
9,Latin America & Caribbean,5954671
10,Japan,4872137
11,Germany,3677439
12,South Asia,3291738
13,Middle East & North Africa,3265747
14,United Kingdom,2622434
15,India,2597491
16,France,2582501
17,Brazil,2055506
18,Italy,1934798
19,Canada,1653043
20,Sub-Saharan Africa,1648714
21,Russian Federation,1577524
22,"Korea, Rep.",1530751
23,Australia,1323421
24,Spain,1311320
25,Mexico,1149919
26,Indonesia,1015539
27,Turkey,851102
28,Netherlands,826200
29,Saudi Arabia,683827
30,Switzerland,678887
31,Argentina,637590
32,Low income,549654
33,Sweden,538040
34,Poland,524510
35,Belgium,492681
36,Thailand,455221
37,"Iran, Islamic Rep.",439514
38,Austria,416596
39,Norway,398832
40,United Arab Emirates,382575
41,Nigeria,375771
42,Israel,350851
43,South Africa,349419
44,"Hong Kong SAR, China",341449
45,Ireland,333731
46,Denmark,324872
47,Singapore,323907
48,Malaysia,314500
49,Philippines,313595
50,Colombia,309191
51,Pakistan,304952
52,Chile,277076
53,Finland,251885
54,Bangladesh,249724
55,"Egypt, Arab Rep.",235369
56,Vietnam,223864
57,Portugal,217571
58,Czech Republic,215726
59,Romania,211803
60,Peru,211389
61,New Zealand,205853
62,Greece,200288
63,Iraq,197716
64,Algeria,170371
65,Qatar,167605
66,Kazakhstan,159407
67,Hungary,139135
68,Angola,124209
69,Kuwait,120126
70,Sudan,117488
71,Ukraine,112154
72,Morocco,109139
73,Puerto Rico,105035
74,Ecuador,103057
75,Slovak Republic,95769
76,Sri Lanka,87175
77,Cuba,87133
78,Ethiopia,80561
79,Dominican Republic,75932
80,Guatemala,75620
81,Kenya,74938
82,Oman,72643
83,Myanmar,69322
84,Luxembourg,62404
85,Panama,61838
86,Costa Rica,57057
87,Bulgaria,56832
88,Uruguay,56157
89,Croatia,54849
90,Belarus,54442
91,Tanzania,52090
92,Lebanon,51844
93,Libya,50984
94,"Macao SAR, China",50361
95,Slovenia,48770
96,Uzbekistan,48718
97,Ghana,47330
98,Lithuania,47168
99,Turkmenistan,42355
100,Serbia,41432
101,Azerbaijan,40748
102,Côte d'Ivoire,40389
103,Tunisia,40257
104,Jordan,40068
105,Bolivia,37509
106,"Congo, Dem. Rep.",37241
107,Bahrain,35307
108,Cameroon,34799
109,Latvia,30264
110,Paraguay,29735
111,Estonia,25921
112,Uganda,25891
113,Zambia,25809
114,El Salvador,24805
115,Nepal,24472
116,Iceland,23909
117,Honduras,22979
118,Cambodia,22158
119,Trinidad and Tobago,22105
120,Cyprus,21652
121,Papua New Guinea,21089
122,Afghanistan,20815
123,"Yemen, Rep.",18213
124,Bosnia and Herzegovina,18169
125,Zimbabwe,17846
126,Botswana,17407
127,Lao PDR,16853
128,Senegal,16375
129,Mali,15288
130,Georgia,15159
131,Jamaica,14768
132,Gabon,14623
133,West Bank and Gaza,14498
134,Nicaragua,13814
135,Mauritius,13338
136,Namibia,13245
137,Albania,13039
138,Burkina Faso,12873
139,Malta,12538
140,Equatorial Guinea,12487
141,Mozambique,12334
142,"Bahamas, The",12162
143,Brunei Darussalam,12128
144,Armenia,11537
145,Madagascar,11500
146,Mongolia,11488
147,"Macedonia, FYR",11338
148,Guinea,10496
149,Chad,9981
150,Benin,9274
151,Rwanda,9137
152,"Congo, Rep.",8723
153,Haiti,8408
154,Moldova,8128
155,Niger,8120
156,Kyrgyz Republic,7565
157,Somalia,7369
158,Tajikistan,7146
159,Kosovo,7129
160,Isle of Man,6792
161,Malawi,6303
162,Liechtenstein,6289
163,Guam,5793
164,Fiji,5061
165,Mauritania,5025
166,Togo,4813
167,Barbados,4797
168,Montenegro,4774
169,Maldives,4597
170,Eswatini,4409
171,Sierra Leone,3774
172,Virgin Islands (U.S.),3765
173,Guyana,3676
174,Burundi,3478
175,Suriname,3324
176,Andorra,3013
177,Timor-Leste,2955
178,South Sudan,2904
179,Greenland,2706
180,Lesotho,2639
181,Bhutan,2512
182,Faroe Islands,2477
183,Liberia,2158
184,Central African Republic,1949
185,Djibouti,1845
186,Belize,1838
187,Cabo Verde,1754
188,St. Lucia,1712
189,San Marino,1659
190,Antigua and Barbuda,1532
191,Seychelles,1486
192,Guinea-Bissau,1347
193,Solomon Islands,1303
194,Northern Mariana Islands,1242
195,Grenada,1119
196,"Gambia, The",1015
197,St. Kitts and Nevis,946
198,Vanuatu,863
199,Samoa,857
200,St. Vincent and the Grenadines,790
201,American Samoa,658
202,Comoros,649
203,Dominica,563
204,Tonga,426
205,São Tomé and Principe,391
206,"Micronesia, Fed. Sts.",336
207,Palau,292
208,Marshall Islands,199
209,Kiribati,196
210,Nauru,114
211,Tuvalu,40
